Result of replaying M1.tpn on Process 12 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Queued States","Num. States","Calculation Time (ms)","Move-Log Fitness","Trace Fitness","Trace Length","Move-Model Fitness",Match
1,"instance_5|instance_149|instance_361|instance_1|instance_59|instance_338|instance_326|instance_416|instance_246|instance_164|instance_478",11,Yes,"2,00","103,00","50,00","0,00","1,00","0,88","8,00","0,80",[L/M]A|[L/M]C|[L/M]E|[M-REAL]t4t8|[L/M]I|[L/M]J|[M-REAL]t9t5|[L/M]F|[L/M]D|[L/M]B
2,"instance_174|instance_38|instance_166|instance_449|instance_224|instance_461|instance_347|instance_475|instance_26|instance_160",10,Yes,"0,00","29,00","9,00","0,00","1,00","1,00","8,00","1,00",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
3,"instance_60|instance_45|instance_280|instance_23|instance_386|instance_228|instance_332",7,Yes,"0,00","32,00","10,00","0,00","1,00","1,00","9,00","1,00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]O|[L/M]M|[L/M]F|[L/M]D|[L/M]B
4,"instance_295|instance_325|instance_339|instance_278",4,Yes,"2,00","49,00","20,00","0,00","0,88","0,88","8,00","0,88",[L/M]A|[L]E+complete|[L/M]C|[M-REAL]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
5,"instance_194|instance_370|instance_53",3,Yes,"2,00","116,00","60,00","0,00","1,00","0,89","11,00","0,85",[L/M]A|[L/M]C|[L/M]E|[M-REAL]t4t8|[L/M]I|[L/M]J|[L/M]K|[L/M]I|[L/M]J|[M-REAL]t9t5|[L/M]F|[L/M]D|[L/M]B
6,"instance_192|instance_40|instance_212",3,Yes,"2,00","69,00","38,00","0,00","0,89","0,88","9,00","0,89",[L/M]A|[L/M]C|[L/M]E|[L]D+complete|[L/M]L|[L/M]O|[L/M]M|[L/M]F|[M-REAL]D|[L/M]B
7,"instance_67|instance_79|instance_121",3,Yes,"0,00","32,00","10,00","0,00","1,00","1,00","9,00","1,00",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]N|[L/M]M|[L/M]F|[L/M]D|[L/M]B
8,"instance_176|instance_306|instance_340",3,Yes,"2,00","68,00","40,00","0,00","0,88","0,88","8,00","0,88",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L]B+complete|[L/M]D|[M-REAL]B
9,"instance_393|instance_318",2,Yes,"4,00","217,00","134,00","0,00","0,88","0,75","8,00","0,70",[L/M]A|[L/M]C|[L/M]E|[M-REAL]t4t8|[L/M]I|[L/M]J|[M-REAL]t9t5|[L]D+complete|[L/M]F|[M-REAL]D|[L/M]B
10,"instance_187|instance_333",2,Yes,"4,00","201,00","119,00","1,00","0,75","0,75","8,00","0,75",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L]D+complete|[L]F+complete|[L/M]H|[M-REAL]F|[M-REAL]D|[L/M]B
11,"instance_282|instance_167",2,Yes,"4,00","181,00","99,00","0,00","0,75","0,75","8,00","0,75",[L/M]A|[L/M]C|[M-REAL]E|[L]B+complete|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[M-REAL]B|[L]E+complete
12,"instance_362|instance_16",2,Yes,"2,00","71,00","41,00","0,00","0,89","0,88","9,00","0,89",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]O|[L]B+complete|[L/M]M|[L/M]F|[L/M]D|[M-REAL]B
13,"instance_202|instance_18",2,Yes,"4,00","199,00","115,00","16,00","0,75","0,75","8,00","0,75",[L/M]A|[L/M]C|[L/M]E|[M-REAL]G|[L]D+complete|[L/M]H|[L/M]F|[M-REAL]D|[L]G+complete|[L/M]B
14,"instance_264|instance_122",2,Yes,"4,00","201,00","117,00","16,00","0,75","0,75","8,00","0,75",[L/M]A|[L/M]C|[L/M]E|[M-REAL]G|[M-REAL]H|[L]I+complete|[L/M]F|[L]J+complete|[L/M]D|[L/M]B
15,"instance_288|instance_154",2,Yes,"2,00","61,00","33,00","0,00","0,88","0,88","8,00","0,88",[L/M]A|[L/M]C|[L]B+complete|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[M-REAL]B
16,"instance_81|instance_266",2,Yes,"2,00","60,00","30,00","0,00","0,88","0,88","8,00","0,88",[L/M]A|[L/M]C|[L]F+complete|[L/M]E|[L/M]G|[L/M]H|[M-REAL]F|[L/M]D|[L/M]B
17,"instance_375|instance_145",2,Yes,"2,00","57,00","29,00","0,00","0,88","0,88","8,00","0,88",[L]B+complete|[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[M-REAL]B
18,"instance_162|instance_42",2,Yes,"2,00","66,00","35,00","0,00","0,88","0,88","8,00","0,88",[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L]F+complete|[L/M]H|[M-REAL]F|[L/M]D|[L/M]B
19,"instance_105|instance_181",2,Yes,"2,00","37,00","15,00","0,00","0,88","0,88","8,00","0,88",[L]C+complete|[L/M]A|[M-REAL]C|[L/M]E|[L/M]G|[L/M]H|[L/M]F|[L/M]D|[L/M]B
